Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Hammer Films,The Hound of the Baskervilles,United Kingdom,Peter Cushing;André Morell;Christopher Lee,Terence Fisher,Horror;Mystery,https://www.imdb.com/title/tt0052905/?ref_=adv_li_tt,"March 28, 1959"
Clarion Films;Hammer Films,The Abominable Snowman,United Kingdom,Forrest Tucker;Peter Cushing;Maureen Connell,Val Guest,Adventure;Horror,https://www.imdb.com/title/tt0050095/?ref_=adv_li_tt,"August 10, 1957"
Peter Rogers Productions,Carry on Constable,United Kingdom,Sidney James;Kenneth Williams;Eric Barker,Gerald Thomas,Comedy,https://www.imdb.com/title/tt0053699/?ref_=adv_li_tt,"February 25, 1960"
Hammer Films,The Revenge of Frankenstein,United Kingdom,Peter Cushing;Francis Matthews;Eunice Gayson,Terence Fisher,Horror;Sci-Fi,https://www.imdb.com/title/tt0050894/?ref_=adv_li_tt,"June 13, 1958"
Blaustein-Baroda,The Wreck of the Mary Deare,United Kingdom;United States,Gary Cooper;Charlton Heston;Michael Redgrave,Michael Anderson,Adventure;Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0053455/?ref_=adv_li_tt,"November 6, 1959"
Two Cities Films;Noel Coward-Cineguild,This Happy Breed,United Kingdom,Robert Newton;Celia Johnson;John Mills,David Lean,Comedy;Drama,https://www.imdb.com/title/tt0037367/?ref_=adv_li_tt,"May 28, 1944"
Holiday Film Productions Ltd.,1984,United Kingdom,Edmond O'Brien;Michael Redgrave;Jan Sterling,Michael Anderson,Drama;Sci-Fi,https://www.imdb.com/title/tt0048918/?ref_=adv_li_tt,"March 6, 1956"
London Film Productions;De Grunwald Productions,The Holly and the Ivy,United Kingdom,Ralph Richardson;Celia Johnson;Margaret Leighton,George More O'Ferrall,,https://www.imdb.com/title/tt0044716/?ref_=adv_li_tt,September 1952
Associated British Picture Corporation (ABPC);Charter Film Productions,Brighton Rock,United Kingdom,Richard Attenborough;Hermione Baddeley;William Hartnell,John Boulting,,https://www.imdb.com/title/tt0039220/?ref_=adv_li_tt,"January 8, 1948"
Herbert Wilcox Productions,Victoria the Great,United Kingdom,Anna Neagle;Anton Walbrook;Walter Rilla,Herbert Wilcox,,https://www.imdb.com/title/tt0029734/?ref_=adv_li_tt,"September 3, 1937"
Two Cities Films,Hamlet,United Kingdom,Laurence Olivier;Jean Simmons;John Laurie,Laurence Olivier,,https://www.imdb.com/title/tt0040416/?ref_=adv_li_tt,"May 6, 1948"
British Lion Films;Tudor Productions;John Harvel Productions,Two Way Stretch,United Kingdom,Peter Sellers;David Lodge;Bernard Cribbins,Robert Day,,https://www.imdb.com/title/tt0054417/?ref_=adv_li_tt,"February 11, 1960"
Warner Bros. Productions,The Sundowners,United Kingdom;United States;Australia,Deborah Kerr;Robert Mitchum;Peter Ustinov,Fred Zinnemann,Drama,https://www.imdb.com/title/tt0054353/?ref_=adv_li_tt,"December 8, 1960"
George Minter Productions,A Christmas Carol,United Kingdom,Alastair Sim;Jack Warner;Kathleen Harrison,Brian Desmond Hurst,Drama;Family;Fantasy,https://www.imdb.com/title/tt0044008/?ref_=adv_li_tt,"October 31, 1951"
Warner Bros.,Stage Fright,United Kingdom,Marlene Dietrich;Jane Wyman;Richard Todd,Alfred Hitchcock,,https://www.imdb.com/title/tt0042994/?ref_=adv_li_tt,"February 23, 1950"
Hammer Films,The Quatermass Xperiment,United Kingdom;Japan,Brian Donlevy;Jack Warner;Margia Dean,Val Guest,,https://www.imdb.com/title/tt0049646/?ref_=adv_li_tt,"August 26, 1955"
The Archers;Vega Film Productions,The Tales of Hoffmann,United Kingdom,Moira Shearer;Robert Rounseville;Ludmilla Tchérina,Michael Powell;Emeric Pressburger,Fantasy;Music;Musical;Romance,https://www.imdb.com/title/tt0044103/?ref_=adv_li_tt,"April 1, 1951"
Norma Productions,The Crimson Pirate,United States;United Kingdom,Burt Lancaster;Nick Cravat;Eva Bartok,Robert Siodmak,Action;Adventure;Comedy;Drama;Romance,https://www.imdb.com/title/tt0044517/?ref_=adv_li_tt,"August 27, 1952"
Merton Park Studios,The Concrete Jungle,United Kingdom,Stanley Baker;Sam Wanamaker;Grégoire Aslan,Joseph Losey,Crime;Drama;Thriller,https://www.imdb.com/title/tt0053740/?ref_=adv_li_tt,"October 27, 1960"
The Archers,I Know Where I'm Going!,United Kingdom,Wendy Hiller;Roger Livesey;Pamela Brown,Michael Powell;Emeric Pressburger,,https://www.imdb.com/title/tt0037800/?ref_=adv_li_tt,"November 8, 1945"
Metro-Goldwyn-Mayer (MGM),Ivanhoe,United Kingdom;United States,Robert Taylor;Elizabeth Taylor;Joan Fontaine,Richard Thorpe,Adventure;Drama;Romance,https://www.imdb.com/title/tt0044760/?ref_=adv_li_tt,"June 12, 1952"
Ortus Films,49th Parallel,United Kingdom;Canada,Leslie Howard;Laurence Olivier;Raymond Massey,Michael Powell,Drama;Thriller;War,https://www.imdb.com/title/tt0033627/?ref_=adv_li_tt,"October 8, 1941"
Twentieth Century-Fox Productions,No Highway in the Sky,United Kingdom;United States,James Stewart;Marlene Dietrich;Glynis Johns,Henry Koster,,https://www.imdb.com/title/tt0043859/?ref_=adv_li_tt,"June 28, 1951"
Metro-Goldwyn-Mayer British Studios,"Goodbye, Mr. Chips",United Kingdom,Robert Donat;Greer Garson;Terry Kilburn,Sam Wood;Sidney Franklin,,https://www.imdb.com/title/tt0031385/?ref_=adv_li_tt,"May 15, 1939"
Oriental International Films,The River,France;United Kingdom;India;United States,Patricia Walters;Nora Swinburne;Esmond Knight,Jean Renoir,,https://www.imdb.com/title/tt0043972/?ref_=adv_li_tt,"August 30, 1951"
Halas & Batchelor;Central Intelligence Agency (CIA),Animal Farm,United Kingdom;United States,Gordon Heath;Maurice Denham,Joy Batchelor;John Halas,Animation;Drama,https://www.imdb.com/title/tt0047834/?ref_=adv_li_tt,"December 29, 1954"
